ProjectID,Date,BudgetAmount,ActualCost,EarnedValue,PlannedValue,CPI,SPI,ScheduleVariance,StatusID
PJT001,2025-06-30,635435,912041,480785,480360,0.53,1.0,425,3
PJT002,2022-01-31,561163,668285,584760,395606,0.88,1.48,189154,2
PJT002,2022-02-28,1268140,1048112,1288605,954034,1.23,1.35,334571,3
PJT002,2022-03-31,1536407,1516027,1919562,1138871,1.27,1.69,780691,4
PJT002,2022-04-30,1011600,721749,1254135,974374,1.74,1.29,279761,3
PJT002,2022-05-31,886912,1117496,1023300,768563,0.92,1.33,254737,1
PJT002,2022-06-30,1294476,1089757,743653,1254560,0.68,0.59,-510907,1
PJT002,2022-07-31,1850627,2282011,1427248,1489316,0.63,0.96,-62068,4
PJT002,2022-08-31,1588934,2378809,1922084,1484005,0.81,1.3,438079,3
PJT002,2022-09-30,1463047,1000929,920700,1418521,0.92,0.65,-497821,1
PJT002,2022-10-31,1409644,858751,819253,1267341,0.95,0.65,-448088,1
PJT002,2022-11-30,507592,386180,476623,460675,1.23,1.03,15948,3
PJT002,2022-12-31,1477942,1218222,1581019,1139751,1.3,1.39,441267,2
PJT002,2023-01-31,988100,1330468,1007571,943405,0.76,1.07,64166,3
PJT002,2023-02-28,1486419,1736597,854602,1204468,0.49,0.71,-349866,2
PJT002,2023-03-31,897804,757737,1147760,734340,1.51,1.56,413420,4
PJT002,2023-04-30,1838070,2262919,2087770,1563814,0.92,1.34,523956,4
PJT002,2023-05-31,1365356,1491675,895939,1251670,0.6,0.72,-355732,1
PJT002,2023-06-30,921159,575094,936245,693755,1.63,1.35,242490,1
PJT002,2023-07-31,1910688,2969072,2353760,1549659,0.79,1.52,804101,1
PJT002,2023-08-31,523185,799593,440808,517951,0.55,0.85,-77143,2
PJT002,2023-09-30,1945430,2826728,1430979,1586555,0.51,0.9,-155576,1
PJT002,2023-10-31,1776705,1629100,1129263,1540475,0.69,0.73,-411212,3
PJT002,2023-11-30,1904232,2467942,1820539,1388476,0.74,1.31,432063,2
PJT002,2023-12-31,1422511,2261869,870672,1216956,0.38,0.72,-346284,4
PJT002,2024-01-31,1816060,2434916,1920688,1653968,0.79,1.16,266720,2
PJT002,2024-02-29,1039237,928653,1192513,980036,1.28,1.22,212477,1
PJT002,2024-03-31,1800608,2724754,1636886,1531336,0.6,1.07,105550,3
PJT002,2024-04-30,1697443,2121742,1801960,1593454,0.85,1.13,208507,3
PJT002,2024-05-31,1835008,1721229,1468862,1336243,0.85,1.1,132619,1
PJT002,2024-06-30,1367420,869600,1193045,1179801,1.37,1.01,13243,3
PJT002,2024-07-31,929812,1107251,487594,661286,0.44,0.74,-173693,2
PJT002,2024-08-31,1733901,1664875,1043199,1485386,0.63,0.7,-442187,2
PJT002,2024-09-30,1654990,1350176,1652197,1200868,1.22,1.38,451329,1
PJT002,2024-10-31,577523,653383,538544,514705,0.82,1.05,23840,3
PJT002,2024-11-30,1589137,2504245,1450946,1266363,0.58,1.15,184584,4
PJT002,2024-12-31,1692779,1474127,1440855,1224788,0.98,1.18,216067,2
PJT002,2025-01-31,538026,840746,628836,488954,0.75,1.29,139882,2
PJT002,2025-02-28,1113429,861009,696060,862989,0.81,0.81,-166929,2
PJT002,2025-03-31,1323840,1740315,1361117,1037864,0.78,1.31,323252,2
PJT002,2025-04-30,1932298,2585215,1823091,1707217,0.71,1.07,115874,4
PJT002,2025-05-31,1129400,957427,886329,1047354,0.93,0.85,-161025,1
PJT002,2025-06-30,521590,373496,279991,371486,0.75,0.75,-91496,2
PJT003,2022-01-31,1783191,2324671,1568029,1300571,0.67,1.21,267459,3
PJT003,2022-02-28,1237424,1328340,790171,1027254,0.59,0.77,-237083,4
PJT003,2022-03-31,1097757,1334708,1106621,783350,0.83,1.41,323272,2
PJT003,2022-04-30,1061919,1301764,958391,1016200,0.74,0.94,-57809,3
PJT003,2022-05-31,1488040,1135277,828028,1328412,0.73,0.62,-500385,2
PJT003,2022-06-30,539767,640042,675888,471023,1.06,1.43,204864,1
PJT003,2022-07-31,1082255,1345555,937885,934727,0.7,1.0,3157,4
PJT003,2022-08-31,1912197,1885623,2426487,1857901,1.29,1.31,568587,1
PJT003,2022-09-30,793687,531263,460832,559919,0.87,0.82,-99087,4
PJT003,2022-10-31,641664,823260,357376,510568,0.43,0.7,-153192,2
PJT003,2022-11-30,1767313,1101517,2035193,1386557,1.85,1.47,648636,2
PJT003,2022-12-31,677247,878212,679383,652353,0.77,1.04,27031,4
PJT003,2023-01-31,1602607,2249228,1162896,1207134,0.52,0.96,-44239,3
PJT003,2023-02-28,1625922,2287404,2101348,1339411,0.92,1.57,761938,3
PJT003,2023-03-31,1058027,1456282,817477,1036049,0.56,0.79,-218572,2
PJT003,2023-04-30,1787619,1839449,1967627,1655984,1.07,1.19,311643,2
PJT003,2023-05-31,654686,983700,591968,620601,0.6,0.95,-28633,1
PJT003,2023-06-30,980074,1465724,795194,689239,0.54,1.15,105956,2
PJT003,2023-07-31,1858073,1284461,1403683,1830236,1.09,0.77,-426553,4
PJT003,2023-08-31,1925911,2259937,1936445,1607237,0.86,1.2,329208,3
PJT003,2023-09-30,939816,872774,975543,869999,1.12,1.12,105544,3
PJT003,2023-10-31,1687369,2344798,966803,1431439,0.41,0.68,-464636,1
PJT003,2023-11-30,586338,674013,500278,566585,0.74,0.88,-66307,3
PJT003,2023-12-31,1026373,735978,630596,952939,0.86,0.66,-322342,3
PJT003,2024-01-31,1427327,1000731,809702,1299283,0.81,0.62,-489581,4
PJT003,2024-02-29,609145,866118,648735,441267,0.75,1.47,207468,3
PJT003,2024-03-31,627257,995230,501439,508826,0.5,0.99,-7387,1
PJT003,2024-04-30,1719199,2660029,2215706,1592002,0.83,1.39,623704,1
PJT003,2024-05-31,1064389,727511,1193944,923380,1.64,1.29,270564,3
PJT003,2024-06-30,1136333,1711720,669252,963369,0.39,0.69,-294117,2
PJT003,2024-07-31,517030,552530,281804,380351,0.51,0.74,-98547,3
PJT003,2024-08-31,676289,844828,741778,591760,0.88,1.25,150018,1
PJT003,2024-09-30,1943259,1894426,1415799,1866655,0.75,0.76,-450856,1
PJT003,2024-10-31,835394,1305906,425820,827845,0.33,0.51,-402025,4
PJT003,2024-11-30,564740,842108,520781,563548,0.62,0.92,-42767,3
PJT003,2024-12-31,610695,704653,778906,523322,1.11,1.49,255584,3
PJT003,2025-01-31,1444098,1871188,1247170,1282745,0.67,0.97,-35575,4
PJT003,2025-02-28,1376471,2066301,738280,1079551,0.36,0.68,-341271,1
PJT003,2025-03-31,1925617,2869678,1664745,1706173,0.58,0.98,-41428,4
PJT003,2025-04-30,916072,721976,797861,738359,1.11,1.08,59502,2
PJT003,2025-05-31,1375484,932213,1759954,1369794,1.89,1.28,390160,3
PJT003,2025-06-30,1547243,1757817,1156753,1460811,0.66,0.79,-304059,1
PJT004,2022-01-31,1527097,1164590,1876408,1445796,1.61,1.3,430612,4
PJT004,2022-02-28,1924700,2551612,1906862,1588788,0.75,1.2,318074,1
PJT004,2022-03-31,1899093,2784191,1018246,1344387,0.37,0.76,-326141,2
PJT004,2022-04-30,1064695,1501809,1373266,793331,0.91,1.73,579935,3
PJT004,2022-05-31,1391196,1364612,1775071,1325303,1.3,1.34,449768,4
PJT004,2022-06-30,1757493,1878221,1461980,1374398,0.78,1.06,87582,1
PJT004,2022-07-31,584563,856223,672435,584514,0.79,1.15,87922,3
PJT004,2022-08-31,1994955,2305035,2224754,1961898,0.97,1.13,262856,3
PJT004,2022-09-30,1774471,1503595,1526818,1310887,1.02,1.16,215931,1
PJT004,2022-10-31,1931077,2329216,1318760,1740885,0.57,0.76,-422126,3
PJT004,2022-11-30,1427192,1367483,843251,1286574,0.62,0.66,-443323,3
PJT004,2022-12-31,1280462,1757201,1173070,1223679,0.67,0.96,-50609,4
PJT004,2023-01-31,1327860,1541563,1595189,1090233,1.03,1.46,504956,3
PJT004,2023-02-28,701023,440791,774006,621171,1.76,1.25,152835,4
PJT004,2023-03-31,1556120,1265070,947828,1096074,0.75,0.86,-148246,3
PJT004,2023-04-30,1025881,1220714,834857,852756,0.68,0.98,-17899,2
PJT004,2023-05-31,1856238,1760188,1691388,1735761,0.96,0.97,-44372,2
PJT004,2023-06-30,1094814,1337958,1302709,1078235,0.97,1.21,224475,4
PJT004,2023-07-31,720610,1100075,644004,560255,0.59,1.15,83749,4
PJT004,2023-08-31,1188704,1878190,1062813,949329,0.57,1.12,113484,2
PJT004,2023-09-30,1450101,1218296,813058,1071137,0.67,0.76,-258079,3
PJT004,2023-10-31,692069,520368,422897,617507,0.81,0.68,-194610,4
PJT004,2023-11-30,772820,730831,940855,650860,1.29,1.45,289995,1
PJT004,2023-12-31,1501337,1159512,981621,1069343,0.85,0.92,-87722,3
PJT004,2024-01-31,753403,661932,483389,547430,0.73,0.88,-64041,3
PJT004,2024-02-29,680954,722341,452880,551083,0.63,0.82,-98203,2
PJT004,2024-03-31,1255126,1619608,667036,1179596,0.41,0.57,-512560,4
PJT004,2024-04-30,1441851,982995,1728581,1407624,1.76,1.23,320958,3
PJT004,2024-05-31,591617,518776,677378,546937,1.31,1.24,130442,4
PJT004,2024-06-30,776782,628688,618611,656658,0.98,0.94,-38046,4
PJT004,2024-07-31,1427382,1383010,1241862,1319246,0.9,0.94,-77383,4
PJT004,2024-08-31,555025,473124,594254,537576,1.26,1.11,56678,2
PJT004,2024-09-30,1267516,1434972,742432,1057392,0.52,0.7,-314960,4
PJT004,2024-10-31,1298926,1094307,929245,1056267,0.85,0.88,-127023,2
PJT004,2024-11-30,530107,488800,354725,423157,0.73,0.84,-68432,1
PJT004,2024-12-31,679643,1013027,662566,614214,0.65,1.08,48352,3
PJT004,2025-01-31,1683757,1849510,958961,1449937,0.52,0.66,-490976,3
PJT004,2025-02-28,1380262,1857059,1166773,1019011,0.63,1.15,147762,1
PJT004,2025-03-31,925664,891490,941154,806469,1.06,1.17,134684,2
PJT004,2025-04-30,1034145,1640687,1018240,797500,0.62,1.28,220740,3
PJT004,2025-05-31,652674,491371,454761,488333,0.93,0.93,-33572,2
PJT004,2025-06-30,779851,690242,498090,755698,0.72,0.66,-257609,2
PJT005,2022-01-31,620351,697591,513847,617071,0.74,0.83,-103224,2
PJT005,2022-02-28,668058,666626,852159,641104,1.28,1.33,211056,1
PJT005,2022-03-31,1725608,1480404,1098712,1554071,0.74,0.71,-455358,1
PJT005,2022-04-30,1894064,2190983,1813169,1484934,0.83,1.22,328235,2
PJT005,2022-05-31,1654239,1301959,1255474,1369100,0.96,0.92,-113626,4
PJT005,2022-06-30,1261416,1062629,746593,1114065,0.7,0.67,-367471,1
PJT005,2022-07-31,932946,1102031,581683,787725,0.53,0.74,-206043,4
PJT005,2022-08-31,1298884,846643,999210,961596,1.18,1.04,37614,4
PJT005,2022-09-30,595062,946126,450988,561121,0.48,0.8,-110134,2
PJT005,2022-10-31,881961,1130235,977374,774972,0.86,1.26,202402,4
PJT005,2022-11-30,1207364,1221661,940651,1181839,0.77,0.8,-241188,4
PJT005,2022-12-31,1745929,2732426,1046576,1604963,0.38,0.65,-558387,4
PJT005,2023-01-31,1907511,1490210,1055229,1759366,0.71,0.6,-704137,2
PJT005,2023-02-28,1361710,1963352,833118,1278074,0.42,0.65,-444955,2
PJT005,2023-03-31,802441,612789,506671,757803,0.83,0.67,-251132,1
PJT005,2023-04-30,1497796,1682123,1178862,1442617,0.7,0.82,-263756,1
PJT005,2023-05-31,1088668,1542206,926791,885178,0.6,1.05,41614,4
PJT005,2023-06-30,1194020,1076263,1311138,1015891,1.22,1.29,295247,2
PJT005,2023-07-31,848319,1272118,684689,732155,0.54,0.94,-47466,2
PJT005,2023-08-31,1859708,2276725,1103771,1826140,0.48,0.6,-722369,4
PJT005,2023-09-30,1441562,1347724,881397,1352484,0.65,0.65,-471088,1
PJT005,2023-10-31,1430109,1620973,1737746,1339410,1.07,1.3,398335,2
PJT005,2023-11-30,727512,663289,508379,671628,0.77,0.76,-163248,1
PJT005,2023-12-31,550299,643789,610813,529954,0.95,1.15,80859,4
PJT005,2024-01-31,1013123,1439908,596228,966454,0.41,0.62,-370226,2
PJT005,2024-02-29,691233,689358,786510,514951,1.14,1.53,271559,4
PJT005,2024-03-31,843877,1115819,908036,753029,0.81,1.21,155008,3
PJT005,2024-04-30,1540923,1760850,1080864,1238453,0.61,0.87,-157589,4
PJT005,2024-05-31,772397,1165122,746686,633562,0.64,1.18,113124,4
PJT005,2024-06-30,1193009,1845922,742864,1044919,0.4,0.71,-302055,4
PJT005,2024-07-31,1258833,1525019,647655,1210541,0.42,0.54,-562886,2
PJT005,2024-08-31,1898177,2211630,2006982,1854044,0.91,1.08,152938,4
PJT005,2024-09-30,1560858,1174607,1500032,1376699,1.28,1.09,123333,4
PJT005,2024-10-31,1136196,1518463,1417397,1110825,0.93,1.28,306572,3
PJT005,2024-11-30,1176259,838953,1514872,1119410,1.81,1.35,395462,2
PJT005,2024-12-31,686994,1044809,821588,587827,0.79,1.4,233760,3
PJT005,2025-01-31,1386913,1385530,754216,1110306,0.54,0.68,-356090,4
PJT005,2025-02-28,1704280,1030462,1306841,1396573,1.27,0.94,-89733,2
PJT005,2025-03-31,1306093,1985073,1014935,1050211,0.51,0.97,-35276,3
PJT005,2025-04-30,1606252,1690127,1091743,1342396,0.65,0.81,-250652,4
PJT005,2025-05-31,711286,552233,639228,587293,1.16,1.09,51936,1
PJT005,2025-06-30,1872269,1801860,1805748,1665719,1.0,1.08,140030,3
PJT006,2022-01-31,519642,656587,333833,513573,0.51,0.65,-179740,2
PJT006,2022-02-28,722994,733567,410863,722316,0.56,0.57,-311453,3
PJT006,2022-03-31,1253293,1498167,693899,1159281,0.46,0.6,-465381,3
PJT006,2022-04-30,814858,1220702,541157,617016,0.44,0.88,-75859,3
PJT006,2022-05-31,554825,594809,528122,399314,0.89,1.32,128808,1
PJT006,2022-06-30,1663291,1751926,1529417,1384239,0.87,1.1,145178,2
PJT006,2022-07-31,1101145,1276932,687326,830900,0.54,0.83,-143574,2
PJT006,2022-08-31,1792678,2771688,1431718,1400482,0.52,1.02,31236,2
PJT006,2022-09-30,1465999,1478804,762773,1094875,0.52,0.7,-332103,4
PJT006,2022-10-31,1573958,1981494,821098,1206583,0.41,0.68,-385486,2
PJT006,2022-11-30,846612,1076800,436656,619070,0.41,0.71,-182415,2
PJT006,2022-12-31,1699874,1323428,1737606,1311376,1.31,1.33,426230,1
PJT006,2023-01-31,649162,547355,699676,621059,1.28,1.13,78617,4
PJT006,2023-02-28,1745330,1740414,1805488,1329060,1.04,1.36,476428,4
PJT006,2023-03-31,939722,1406139,479635,681911,0.34,0.7,-202276,3
PJT006,2023-04-30,811829,508637,523750,710280,1.03,0.74,-186529,4
PJT006,2023-05-31,1132137,1689909,1306435,908591,0.77,1.44,397844,4
PJT006,2023-06-30,889135,871079,864449,693898,0.99,1.25,170551,1
PJT006,2023-07-31,1436223,1449741,1352402,1193269,0.93,1.13,159133,2
PJT006,2023-08-31,941699,1458176,1046119,698772,0.72,1.5,347346,4
PJT006,2023-09-30,1802702,1960314,2191440,1694462,1.12,1.29,496978,4
PJT006,2023-10-31,1137820,708258,813475,981359,1.15,0.83,-167884,1
PJT006,2023-11-30,1450217,1244124,886786,1378401,0.71,0.64,-491615,4
PJT006,2023-12-31,1976603,2225043,1259775,1545095,0.57,0.82,-285320,4
PJT006,2024-01-31,527586,798923,313492,460559,0.39,0.68,-147067,1
PJT006,2024-02-29,911083,1051552,930340,864547,0.88,1.08,65793,3
PJT006,2024-03-31,809632,494682,493478,785347,1.0,0.63,-291870,3
PJT006,2024-04-30,1810835,2168318,1775367,1628866,0.82,1.09,146501,4
PJT006,2024-05-31,763057,1155583,637165,621847,0.55,1.02,15318,4
PJT006,2024-06-30,1278377,827066,809246,1177909,0.98,0.69,-368663,2
PJT006,2024-07-31,624198,751005,434616,509838,0.58,0.85,-75222,4
PJT006,2024-08-31,933041,891681,1003240,736296,1.13,1.36,266943,2
PJT006,2024-09-30,1349607,1452245,1391360,1324030,0.96,1.05,67329,3
PJT006,2024-10-31,1598858,1302974,839315,1244998,0.64,0.67,-405683,4
PJT006,2024-11-30,1392617,907187,1249307,1224184,1.38,1.02,25123,4
PJT006,2024-12-31,1001366,1372785,586078,723528,0.43,0.81,-137450,1
PJT006,2025-01-31,1592283,1744332,1673047,1322309,0.96,1.27,350738,4
PJT006,2025-02-28,869603,1234056,990941,789955,0.8,1.25,200986,3
PJT006,2025-03-31,908218,1080989,716383,660705,0.66,1.08,55678,4
PJT006,2025-04-30,1875970,1382250,2364079,1564187,1.71,1.51,799892,2
PJT006,2025-05-31,777699,888056,931961,715225,1.05,1.3,216736,4
PJT006,2025-06-30,1709842,2152320,1801868,1632486,0.84,1.1,169381,2
PJT007,2022-01-31,874502,952704,592009,871267,0.62,0.68,-279257,1
PJT007,2022-02-28,1916089,1225199,2039600,1873120,1.66,1.09,166481,4
PJT007,2022-03-31,770863,900326,950004,547454,1.06,1.74,402550,1
PJT007,2022-04-30,1546130,1387419,1916455,1532706,1.38,1.25,383749,1
PJT007,2022-05-31,1916400,2058624,2279815,1827028,1.11,1.25,452786,4
PJT007,2022-06-30,978651,1398409,518299,860117,0.37,0.6,-341818,2
PJT007,2022-07-31,845013,608889,474528,768021,0.78,0.62,-293493,4
PJT007,2022-08-31,1009812,1337766,557704,802384,0.42,0.7,-244680,2
PJT007,2022-09-30,1309237,1820786,988477,1162298,0.54,0.85,-173821,1
PJT007,2022-10-31,1828967,2223773,1255343,1293665,0.56,0.97,-38322,3
PJT007,2022-11-30,1805148,1121483,2165747,1550047,1.93,1.4,615700,4
PJT007,2022-12-31,1908602,2669720,2478028,1536832,0.93,1.61,941196,3
PJT007,2023-01-31,1650782,1653970,1459127,1466310,0.88,1.0,-7183,2
PJT007,2023-02-28,1810516,2868008,2018035,1494273,0.7,1.35,523762,4
PJT007,2023-03-31,1132036,1514191,782261,829943,0.52,0.94,-47682,3
PJT007,2023-04-30,1031933,915571,760583,794674,0.83,0.96,-34091,3
PJT007,2023-05-31,563140,347949,726551,466467,2.09,1.56,260084,4
PJT007,2023-06-30,1076490,1377527,726203,1060330,0.53,0.68,-334127,3
PJT007,2023-07-31,1679518,1157878,1400826,1618611,1.21,0.87,-217785,4
PJT007,2023-08-31,1917098,2046313,1899325,1438035,0.93,1.32,461290,3
PJT007,2023-09-30,1986753,1652326,2491757,1777933,1.51,1.4,713823,1
PJT007,2023-10-31,1411605,1570677,966294,1062880,0.62,0.91,-96586,4
PJT007,2023-11-30,830729,653317,933464,668768,1.43,1.4,264695,1
PJT007,2023-12-31,586764,920693,708241,574046,0.77,1.23,134195,1
PJT007,2024-01-31,1992362,1541879,1627747,1847859,1.06,0.88,-220112,3
PJT007,2024-02-29,1544031,1164039,1779753,1184785,1.53,1.5,594968,2
PJT007,2024-03-31,835726,950200,814292,730447,0.86,1.11,83845,1
PJT007,2024-04-30,637230,941483,454014,470820,0.48,0.96,-16807,1
PJT007,2024-05-31,1833122,2851699,2180869,1728368,0.76,1.26,452501,1
PJT007,2024-06-30,1482863,1706564,844623,1219708,0.49,0.69,-375085,2
PJT007,2024-07-31,1059033,910507,1142417,898868,1.25,1.27,243549,2
PJT007,2024-08-31,621569,509801,650539,449295,1.28,1.45,201244,1
PJT007,2024-09-30,1776810,1945868,1571534,1559546,0.81,1.01,11988,2
PJT007,2024-10-31,1737021,1646365,1810694,1510722,1.1,1.2,299972,2
PJT007,2024-11-30,900542,1331569,1024764,808269,0.77,1.27,216495,2
PJT007,2024-12-31,1775873,2605728,1894306,1689040,0.73,1.12,205267,4
PJT007,2025-01-31,1546207,1979363,1538305,1431502,0.78,1.07,106803,1
PJT007,2025-02-28,737908,1092746,883626,523010,0.81,1.69,360616,2
PJT007,2025-03-31,1738725,1267304,1335506,1604935,1.05,0.83,-269428,4
PJT007,2025-04-30,741140,1050912,863952,631629,0.82,1.37,232323,3
PJT007,2025-05-31,509579,452016,506288,506703,1.12,1.0,-415,3
PJT007,2025-06-30,1447720,1244755,1458150,1247929,1.17,1.17,210222,2
PJT008,2022-01-31,1669768,1180494,1851476,1439975,1.57,1.29,411502,1
PJT008,2022-02-28,1944488,1831459,1956345,1904837,1.07,1.03,51508,2
PJT008,2022-03-31,653765,1004986,686655,470940,0.68,1.46,215715,3
PJT008,2022-04-30,951445,1244654,526987,832183,0.42,0.63,-305196,1
PJT008,2022-05-31,1018825,1243899,546695,979560,0.44,0.56,-432865,1
PJT008,2022-06-30,1960233,3075367,2155711,1448663,0.7,1.49,707048,3
PJT008,2022-07-31,1637395,1022695,847677,1305140,0.83,0.65,-457462,4
PJT008,2022-08-31,1232965,1689664,1290466,1028010,0.76,1.26,262456,4
PJT008,2022-09-30,910440,1454086,765630,760596,0.53,1.01,5034,2
PJT008,2022-10-31,745436,1039741,786394,571176,0.76,1.38,215218,1
PJT008,2022-11-30,623572,798483,638293,487619,0.8,1.31,150674,2
PJT008,2022-12-31,1926295,1446759,1629391,1893712,1.13,0.86,-264320,1
PJT008,2023-01-31,1129591,1399028,924091,883639,0.66,1.05,40452,3
PJT008,2023-02-28,1975966,1994410,2401351,1519491,1.2,1.58,881860,1
PJT008,2023-03-31,819657,517314,837143,664380,1.62,1.26,172764,1
PJT008,2023-04-30,1796537,1928062,2289785,1357567,1.19,1.69,932218,3
PJT008,2023-05-31,1802935,2481914,2013405,1718981,0.81,1.17,294424,4
PJT008,2023-06-30,1641536,2012885,993123,1165093,0.49,0.85,-171971,3
PJT008,2023-07-31,1881272,2288850,2139438,1588653,0.93,1.35,550786,1
PJT008,2023-08-31,675962,490198,708714,560435,1.45,1.26,148279,3
PJT008,2023-09-30,800787,874135,441528,700362,0.51,0.63,-258834,1
PJT008,2023-10-31,903490,1262681,676072,755829,0.54,0.89,-79757,4
PJT008,2023-11-30,517431,347945,421186,436702,1.21,0.96,-15516,4
PJT008,2023-12-31,1400031,1248355,1478412,1341281,1.18,1.1,137131,1
PJT008,2024-01-31,1669776,1068020,1476760,1221407,1.38,1.21,255353,4
PJT008,2024-02-29,863068,1369397,529920,733320,0.39,0.72,-203399,3
PJT008,2024-03-31,1427234,1858922,1352616,1003247,0.73,1.35,349369,4
PJT008,2024-04-30,989692,1106190,564415,796888,0.51,0.71,-232474,2
PJT008,2024-05-31,549805,373086,449487,406754,1.2,1.11,42733,4
PJT008,2024-06-30,1351311,1742469,1541129,1027057,0.88,1.5,514072,2
PJT008,2024-07-31,751224,529288,758093,685073,1.43,1.11,73020,3
PJT008,2024-08-31,547379,840891,296448,472054,0.35,0.63,-175606,4
PJT008,2024-09-30,1563591,2299994,1675027,1470586,0.73,1.14,204441,4
PJT008,2024-10-31,1009175,1427807,569268,977331,0.4,0.58,-408063,4
PJT008,2024-11-30,1321389,1872801,1138845,1180097,0.61,0.97,-41252,3
PJT008,2024-12-31,1289604,1717223,729018,926072,0.42,0.79,-197054,3
PJT008,2025-01-31,870655,661301,1042545,666716,1.58,1.56,375829,2
PJT008,2025-02-28,1963798,1839874,1268013,1839901,0.69,0.69,-571888,1
PJT008,2025-03-31,1488062,1634183,1405163,1362708,0.86,1.03,42455,3
PJT008,2025-04-30,842682,1345202,1078494,754283,0.8,1.43,324211,4
PJT008,2025-05-31,799314,1023304,445824,566870,0.44,0.79,-121046,2
PJT008,2025-06-30,886524,942041,1059058,813963,1.12,1.3,245095,4
PJT009,2022-01-31,1614060,1655208,1253718,1309505,0.76,0.96,-55788,4
PJT009,2022-02-28,1981474,1268360,2365138,1731021,1.86,1.37,634117,3
PJT009,2022-03-31,1157923,1534546,1029782,1113953,0.67,0.92,-84172,1
PJT009,2022-04-30,1851053,1891259,1335465,1624678,0.71,0.82,-289214,4
PJT009,2022-05-31,1868545,1514759,1865505,1662011,1.23,1.12,203494,3
PJT009,2022-06-30,1599670,1170267,1715901,1556014,1.47,1.1,159887,2
PJT009,2022-07-31,769525,644510,982772,580447,1.52,1.69,402325,4
PJT009,2022-08-31,1781578,1945978,1243158,1712497,0.64,0.73,-469339,2
PJT009,2022-09-30,1167958,1302060,919634,1025333,0.71,0.9,-105699,3
PJT009,2022-10-31,745286,738639,950634,579415,1.29,1.64,371219,3
PJT009,2022-11-30,1485105,1374004,1661504,1097882,1.21,1.51,563622,3
PJT009,2022-12-31,1954732,2059876,1346498,1411412,0.65,0.95,-64914,3
PJT009,2023-01-31,754637,845023,580770,715898,0.69,0.81,-135127,3
