ProjectID,Date,BudgetAmount,ActualCost,EarnedValue,PlannedValue,CPI,SPI,ScheduleVariance,StatusID,StatusName
PJT003,2022-06-30,1648196,2597839,913663,1567772,0.35,0.58,-654109,1,On Track
PJT003,2022-07-31,910193,974265,1000353,846160,1.03,1.18,154193,1,On Track
PJT003,2022-08-31,1024776,772322,1326835,966068,1.72,1.37,360767,1,On Track
PJT003,2022-09-30,1076423,1184329,579982,863937,0.49,0.67,-283955,2,At Risk
PJT003,2022-10-31,1282863,1283057,1190283,1000893,0.93,1.19,189389,2,At Risk
PJT003,2022-11-30,536642,486722,279557,519254,0.57,0.54,-239697,1,On Track
PJT003,2022-12-31,1847555,2404138,1641216,1371463,0.68,1.2,269753,1,On Track
PJT003,2023-01-31,1834675,2385791,2233525,1594124,0.94,1.4,639401,1,On Track
PJT003,2023-02-28,1449516,914064,1091585,1075034,1.19,1.02,16551,2,At Risk
PJT003,2023-03-31,1239053,1959768,905687,1062454,0.46,0.85,-156767,1,On Track
PJT003,2023-04-30,665229,407701,616822,525369,1.51,1.17,91453,1,On Track
PJT003,2023-05-31,1193975,1284226,1364560,888076,1.06,1.54,476484,1,On Track
PJT003,2023-06-30,1796206,2224057,2203610,1653770,0.99,1.33,549840,2,At Risk
PJT003,2023-07-31,621566,433728,482239,510462,1.11,0.94,-28224,1,On Track
PJT003,2023-08-31,1506448,2047023,1390640,1071789,0.68,1.3,318851,1,On Track
PJT003,2023-09-30,1802743,1953298,1198301,1785202,0.61,0.67,-586901,2,At Risk
PJT003,2023-10-31,1133902,1537273,1440411,963905,0.94,1.49,476507,1,On Track
PJT003,2023-11-30,1685552,1517699,1903696,1455083,1.25,1.31,448613,1,On Track
PJT003,2023-12-31,977476,784483,598797,805369,0.76,0.74,-206573,1,On Track
PJT003,2024-01-31,735977,1005157,464633,683735,0.46,0.68,-219102,1,On Track
PJT003,2024-02-29,1355318,1401697,1599613,1302321,1.14,1.23,297292,4,Completed
PJT003,2024-03-31,1878074,2661077,986820,1725540,0.37,0.57,-738720,1,On Track
PJT003,2024-04-30,1107226,1523645,825026,955022,0.54,0.86,-129997,1,On Track
PJT003,2024-05-31,671716,715614,504205,649257,0.7,0.78,-145052,2,At Risk
PJT003,2024-06-30,1152833,1072143,1149573,1099352,1.07,1.05,50222,1,On Track
PJT003,2024-07-31,1998553,2901033,1725885,1449195,0.59,1.19,276690,1,On Track
PJT003,2024-08-31,1291733,2039672,1575560,1115704,0.77,1.41,459857,1,On Track
PJT003,2024-09-30,1215486,883827,1220236,1089277,1.38,1.12,130960,1,On Track
PJT003,2024-10-31,1928368,2305952,2449745,1927230,1.06,1.27,522515,1,On Track
PJT003,2024-11-30,942149,1465209,773113,893209,0.53,0.87,-120096,3,Delayed
PJT003,2024-12-31,1562031,1799606,1893603,1285003,1.05,1.47,608600,1,On Track
PJT003,2025-01-31,1315552,1966336,983898,1130149,0.5,0.87,-146251,1,On Track
PJT003,2025-02-28,1090022,972852,741784,903990,0.76,0.82,-162206,1,On Track
PJT003,2025-03-31,1953553,3103678,2044257,1702574,0.66,1.2,341682,2,At Risk
PJT003,2025-04-30,1214691,1808309,1545437,1184426,0.85,1.3,361011,4,Completed
PJT003,2025-05-31,1758923,2290648,962635,1291210,0.42,0.75,-328575,1,On Track
PJT003,2025-06-30,1419770,1030447,1230463,1301619,1.19,0.95,-71156,2,At Risk
PJT004,2022-01-31,1336749,2095290,1291892,1000875,0.62,1.29,291017,1,On Track
PJT004,2022-02-28,1429977,1725129,1042598,1005752,0.6,1.04,36845,1,On Track
PJT004,2022-03-31,1345131,2110499,1214162,1269824,0.58,0.96,-55662,1,On Track
PJT004,2022-04-30,995790,1074905,1141756,759434,1.06,1.5,382321,1,On Track
PJT004,2022-05-31,1388212,1559583,801214,1048097,0.51,0.76,-246883,1,On Track
PJT004,2022-06-30,921285,661859,766644,818252,1.16,0.94,-51608,2,At Risk
PJT004,2022-07-31,924144,896040,845060,761326,0.94,1.11,83733,4,Completed
PJT004,2022-08-31,1533598,1220133,1646230,1358021,1.35,1.21,288209,4,Completed
PJT004,2022-09-30,1279009,786079,822268,1031255,1.05,0.8,-208987,1,On Track
PJT004,2022-10-31,1166160,1073203,919054,888821,0.86,1.03,30233,4,Completed
PJT004,2022-11-30,1643874,2200822,1108070,1439556,0.5,0.77,-331486,1,On Track
PJT004,2022-12-31,723919,1146028,761181,596306,0.66,1.28,164874,2,At Risk
PJT004,2023-01-31,719726,481868,560386,682487,1.16,0.82,-122101,2,At Risk
PJT004,2023-02-28,1909519,2116808,1532022,1637506,0.72,0.94,-105484,2,At Risk
PJT004,2023-03-31,894026,570260,764966,778478,1.34,0.98,-13512,1,On Track
PJT004,2023-04-30,538749,696186,322106,425627,0.46,0.76,-103521,2,At Risk
PJT004,2023-05-31,1699894,2215238,2199578,1272263,0.99,1.73,927315,1,On Track
PJT004,2023-06-30,1786534,2347515,1635445,1405445,0.7,1.16,230000,3,Delayed
PJT004,2023-07-31,891284,903653,593060,654405,0.66,0.91,-61346,1,On Track
PJT004,2023-08-31,1621961,1654978,1566162,1160137,0.95,1.35,406025,3,Delayed
PJT004,2023-09-30,1133987,1314480,1130864,984914,0.86,1.15,145950,1,On Track
PJT004,2023-10-31,951508,1272828,1117232,729478,0.88,1.53,387754,1,On Track
PJT004,2023-11-30,695065,1046791,774804,575053,0.74,1.35,199751,2,At Risk
PJT004,2023-12-31,1342765,1441466,699687,1300680,0.49,0.54,-600994,1,On Track
PJT004,2024-01-31,1443782,1338385,1020670,1218952,0.76,0.84,-198282,1,On Track
PJT004,2024-02-29,1670561,2144294,1285250,1311038,0.6,0.98,-25787,1,On Track
PJT004,2024-03-31,1981668,1469123,2358815,1683748,1.61,1.4,675067,1,On Track
PJT004,2024-04-30,1502134,1069399,1553612,1222201,1.45,1.27,331411,1,On Track
PJT004,2024-05-31,1634915,2008626,1396376,1391767,0.7,1.0,4609,1,On Track
PJT004,2024-06-30,1643027,2335080,1325895,1370366,0.57,0.97,-44472,1,On Track
PJT004,2024-07-31,1659574,1482187,1920886,1380215,1.3,1.39,540670,3,Delayed
PJT004,2024-08-31,1809640,2423919,2322220,1804114,0.96,1.29,518106,1,On Track
PJT004,2024-09-30,902825,1281507,1123974,683077,0.88,1.65,440897,2,At Risk
PJT004,2024-10-31,1062855,1026456,1037310,882952,1.01,1.17,154358,3,Delayed
PJT004,2024-11-30,1155071,1430784,1341264,1146538,0.94,1.17,194726,2,At Risk
PJT004,2024-12-31,974876,924484,876337,844368,0.95,1.04,31969,3,Delayed
PJT004,2025-01-31,825585,865983,857615,794306,0.99,1.08,63309,1,On Track
PJT004,2025-02-28,1800448,2386604,1813670,1337409,0.76,1.36,476261,1,On Track
PJT004,2025-03-31,1587407,2086169,1307841,1579569,0.63,0.83,-271728,1,On Track
PJT004,2025-04-30,1517211,1702189,1827077,1066194,1.07,1.71,760883,2,At Risk
PJT004,2025-05-31,677590,1034458,621132,640929,0.6,0.97,-19797,2,At Risk
PJT004,2025-06-30,1895164,2095585,1911974,1606609,0.91,1.19,305365,2,At Risk
PJT005,2022-01-31,1912593,2296125,1557855,1625606,0.68,0.96,-67751,1,On Track
PJT005,2022-02-28,1242205,1128984,1299372,1103603,1.15,1.18,195769,1,On Track
PJT005,2022-03-31,1100464,1639576,1267707,776123,0.77,1.63,491584,1,On Track
PJT005,2022-04-30,889099,1361983,948588,756045,0.7,1.25,192543,1,On Track
PJT005,2022-05-31,667377,494387,476072,658247,0.96,0.72,-182175,1,On Track
PJT005,2022-06-30,1004884,1043019,796265,940387,0.76,0.85,-144122,1,On Track
PJT005,2022-07-31,1158323,757090,1471850,1140447,1.94,1.29,331403,3,Delayed
PJT005,2022-08-31,1225565,764916,1581017,990009,2.07,1.6,591008,4,Completed
PJT005,2022-09-30,657158,769297,657198,472002,0.85,1.39,185196,1,On Track
PJT005,2022-10-31,1156584,1067546,806252,924747,0.76,0.87,-118495,1,On Track
PJT005,2022-11-30,1696311,2228569,1025419,1326863,0.46,0.77,-301445,2,At Risk
PJT005,2022-12-31,1653555,1983940,961006,1237199,0.48,0.78,-276194,1,On Track
PJT005,2023-01-31,889434,973959,965934,882808,0.99,1.09,83126,2,At Risk
PJT005,2023-02-28,1646538,1469748,1330685,1574157,0.91,0.85,-243472,1,On Track
PJT005,2023-03-31,1821033,2367697,1616778,1289959,0.68,1.25,326819,1,On Track
PJT005,2023-04-30,945409,1458018,604142,909575,0.41,0.66,-305433,1,On Track
PJT005,2023-05-31,589730,406973,706574,476751,1.74,1.48,229823,1,On Track
PJT005,2023-06-30,1996810,1792423,1699532,1880399,0.95,0.9,-180866,1,On Track
PJT005,2023-07-31,918428,1131705,546143,764442,0.48,0.71,-218299,1,On Track
PJT005,2023-08-31,1497646,1546163,1775584,1312961,1.15,1.35,462623,2,At Risk
PJT005,2023-09-30,1321053,853195,661087,1268544,0.77,0.52,-607457,3,Delayed
PJT005,2023-10-31,1849385,1844932,2196405,1419567,1.19,1.55,776838,1,On Track
PJT005,2023-11-30,797224,824543,445385,666943,0.54,0.67,-221558,2,At Risk
PJT005,2023-12-31,1944598,2112717,1976044,1625362,0.94,1.22,350681,1,On Track
PJT005,2024-01-31,944589,755321,1123515,926695,1.49,1.21,196820,3,Delayed
PJT005,2024-02-29,1221181,1528485,882386,940567,0.58,0.94,-58181,1,On Track
PJT005,2024-03-31,1551327,1878701,1655341,1226058,0.88,1.35,429283,2,At Risk
PJT005,2024-04-30,535772,790525,657488,452260,0.83,1.45,205228,1,On Track
PJT005,2024-05-31,1024586,1508100,633248,837396,0.42,0.76,-204148,1,On Track
PJT005,2024-06-30,1130993,1768934,737658,832715,0.42,0.89,-95057,2,At Risk
PJT005,2024-07-31,504348,759873,334408,465741,0.44,0.72,-131333,2,At Risk
PJT005,2024-08-31,644261,655598,341616,592966,0.52,0.58,-251350,1,On Track
PJT005,2024-09-30,928737,698242,937246,657743,1.34,1.42,279503,4,Completed
PJT005,2024-10-31,1534640,2318842,1798071,1410616,0.78,1.27,387455,1,On Track
PJT005,2024-11-30,1726107,2419684,1330515,1222650,0.55,1.09,107866,4,Completed
PJT005,2024-12-31,1377147,1684059,1170400,973965,0.69,1.2,196435,1,On Track
PJT005,2025-01-31,1153376,1197838,1235613,1000809,1.03,1.23,234804,1,On Track
PJT005,2025-02-28,1625160,1158736,1395839,1558949,1.2,0.9,-163110,1,On Track
PJT005,2025-03-31,1828772,1865297,1556353,1550187,0.83,1.0,6166,2,At Risk
PJT005,2025-04-30,1039122,1147807,947146,811484,0.83,1.17,135662,4,Completed
PJT005,2025-05-31,1643200,2449211,1861411,1153942,0.76,1.61,707468,1,On Track
PJT005,2025-06-30,1543870,2405260,1556814,1539792,0.65,1.01,17021,1,On Track
PJT006,2022-01-31,1367753,1260809,1134567,1049035,0.9,1.08,85531,2,At Risk
PJT006,2022-02-28,1083886,1220738,665760,871418,0.55,0.76,-205658,1,On Track
PJT006,2022-03-31,1615330,1680942,1551951,1363189,0.92,1.14,188762,1,On Track
PJT006,2022-04-30,1752897,2318720,945754,1621674,0.41,0.58,-675919,1,On Track
PJT006,2022-05-31,600577,636599,447307,536342,0.7,0.83,-89035,3,Delayed
PJT006,2022-06-30,787101,1127031,661930,600997,0.59,1.1,60933,1,On Track
PJT006,2022-07-31,1502805,920362,1749576,1280524,1.9,1.37,469052,2,At Risk
PJT006,2022-08-31,1802251,1927470,1706902,1717105,0.89,0.99,-10203,2,At Risk
PJT006,2022-09-30,505332,450658,264604,406315,0.59,0.65,-141710,1,On Track
PJT006,2022-10-31,965115,1141872,649870,775462,0.57,0.84,-125592,1,On Track
PJT006,2022-11-30,1183003,1606313,1147949,883832,0.71,1.3,264117,2,At Risk
PJT006,2022-12-31,1079294,1532753,1026496,800076,0.67,1.28,226420,1,On Track
PJT006,2023-01-31,865713,735640,911287,653826,1.24,1.39,257461,1,On Track
PJT006,2023-02-28,891526,914408,571541,691495,0.63,0.83,-119955,1,On Track
PJT006,2023-03-31,1963961,3035341,2532790,1558156,0.83,1.63,974633,2,At Risk
PJT006,2023-04-30,1400541,1409526,984986,1035093,0.7,0.95,-50107,1,On Track
PJT006,2023-05-31,914803,838905,1135407,666656,1.35,1.7,468751,1,On Track
PJT006,2023-06-30,1490603,894600,1692004,1485392,1.89,1.14,206612,1,On Track
PJT006,2023-07-31,939310,1007774,1077102,892388,1.07,1.21,184714,2,At Risk
PJT006,2023-08-31,1237901,1194575,798121,1177189,0.67,0.68,-379069,2,At Risk
PJT006,2023-09-30,1870685,2381922,936981,1851172,0.39,0.51,-914191,1,On Track
PJT006,2023-10-31,1809592,2640270,1234798,1527943,0.47,0.81,-293145,1,On Track
PJT006,2023-11-30,845915,934656,1046707,816790,1.12,1.28,229917,2,At Risk
PJT006,2023-12-31,1548684,2176204,856541,1433552,0.39,0.6,-577012,1,On Track
PJT006,2024-01-31,634788,774382,438739,531188,0.57,0.83,-92449,1,On Track
PJT006,2024-02-29,1956045,3063005,998261,1806079,0.33,0.55,-807818,1,On Track
PJT006,2024-03-31,667269,663212,538788,579260,0.81,0.93,-40472,1,On Track
PJT006,2024-04-30,1120968,1638126,931683,844741,0.57,1.1,86942,1,On Track
PJT006,2024-05-31,916814,692901,832629,677181,1.2,1.23,155448,1,On Track
PJT006,2024-06-30,952841,817191,781355,682076,0.96,1.15,99279,1,On Track
PJT006,2024-07-31,724132,464857,718582,587789,1.55,1.22,130793,1,On Track
PJT006,2024-08-31,867305,1075006,736767,690225,0.69,1.07,46542,1,On Track
PJT006,2024-09-30,1620488,2343488,1554541,1208904,0.66,1.29,345637,1,On Track
PJT006,2024-10-31,1673271,1616430,2000329,1365264,1.24,1.47,635066,1,On Track
PJT006,2024-11-30,1464684,1829561,1564982,1075537,0.86,1.46,489445,3,Delayed
PJT006,2024-12-31,1660095,1580214,1317591,1297045,0.83,1.02,20546,1,On Track
PJT006,2025-01-31,1271035,796898,1320721,1123470,1.66,1.18,197251,3,Delayed
PJT006,2025-02-28,1700313,1645521,2040174,1685124,1.24,1.21,355050,1,On Track
PJT006,2025-03-31,850454,1052250,655599,789485,0.62,0.83,-133886,4,Completed
PJT006,2025-04-30,1369684,1695376,783005,1189914,0.46,0.66,-406909,2,At Risk
PJT006,2025-05-31,1845446,2814313,2225415,1499942,0.79,1.48,725473,1,On Track
PJT006,2025-06-30,1910055,1505299,1141104,1346410,0.76,0.85,-205306,1,On Track
PJT007,2022-01-31,1444844,2263565,886171,1323499,0.39,0.67,-437329,1,On Track
PJT007,2022-02-28,1169780,957400,1303768,985656,1.36,1.32,318112,1,On Track
PJT007,2022-03-31,1506463,1359506,1881857,1228365,1.38,1.53,653492,1,On Track
PJT007,2022-04-30,982831,888193,1084495,708797,1.22,1.53,375699,3,Delayed
PJT007,2022-05-31,1402048,1618411,1055955,1249424,0.65,0.85,-193469,2,At Risk
PJT007,2022-06-30,1608751,1123348,1471664,1153758,1.31,1.28,317906,1,On Track
PJT007,2022-07-31,762074,622544,435333,555158,0.7,0.78,-119825,3,Delayed
PJT007,2022-08-31,616163,644486,795339,512504,1.23,1.55,282835,2,At Risk
PJT007,2022-09-30,960008,578309,937634,906318,1.62,1.03,31316,1,On Track
PJT007,2022-10-31,1667534,2262753,1521879,1599548,0.67,0.95,-77669,1,On Track
PJT007,2022-11-30,883513,1399435,711344,663848,0.51,1.07,47496,1,On Track
PJT007,2022-12-31,1677460,2177159,1359829,1295535,0.62,1.05,64293,1,On Track
PJT007,2023-01-31,1309120,1090394,1266639,1167908,1.16,1.08,98731,1,On Track
PJT007,2023-02-28,541024,478235,687112,472140,1.44,1.46,214972,1,On Track
PJT007,2023-03-31,1750030,1193026,1054056,1731690,0.88,0.61,-677634,3,Delayed
PJT007,2023-04-30,1810048,1929197,1753918,1431349,0.91,1.23,322570,3,Delayed
PJT007,2023-05-31,1791714,1626845,1459738,1275541,0.9,1.14,184197,1,On Track
PJT007,2023-06-30,1550619,2054984,839688,1207041,0.41,0.7,-367353,1,On Track
PJT007,2023-07-31,1507204,1048216,844827,1369463,0.81,0.62,-524636,1,On Track
PJT007,2023-08-31,811792,1199263,1030547,603865,0.86,1.71,426682,1,On Track
PJT007,2023-09-30,1183565,1857310,1159506,1160660,0.62,1.0,-1154,1,On Track
PJT007,2023-10-31,999700,811065,981761,843039,1.21,1.16,138722,1,On Track
PJT007,2023-11-30,1011430,763387,1298240,779442,1.7,1.67,518798,1,On Track
PJT007,2023-12-31,1582984,1323455,1920853,1238788,1.45,1.55,682065,1,On Track
PJT007,2024-01-31,1447623,1759297,1777835,1052358,1.01,1.69,725477,1,On Track
PJT007,2024-02-29,952521,646308,621719,688840,0.96,0.9,-67121,2,At Risk
PJT007,2024-03-31,1616134,2330948,1666105,1185909,0.71,1.4,480195,1,On Track
PJT007,2024-04-30,1329073,1093788,728722,1193461,0.67,0.61,-464739,1,On Track
PJT007,2024-05-31,693873,705144,468214,658227,0.66,0.71,-190013,1,On Track
PJT007,2024-06-30,1864114,2423067,1828341,1696199,0.75,1.08,132142,1,On Track
PJT007,2024-07-31,1135513,983551,1141350,959493,1.16,1.19,181857,1,On Track
PJT007,2024-08-31,1017623,1085930,867756,862264,0.8,1.01,5493,2,At Risk
PJT007,2024-09-30,936079,1254497,768836,914239,0.61,0.84,-145402,1,On Track
PJT007,2024-10-31,1934285,3066065,2088319,1854992,0.68,1.13,233326,1,On Track
PJT007,2024-11-30,1838315,2680078,2067235,1796344,0.77,1.15,270891,1,On Track
PJT007,2024-12-31,1269924,1613543,661403,1013491,0.41,0.65,-352088,2,At Risk
PJT007,2025-01-31,1609220,1362249,1651303,1244985,1.21,1.33,406318,1,On Track
PJT007,2025-02-28,1941196,2990933,2215307,1878352,0.74,1.18,336954,1,On Track
PJT007,2025-03-31,1638072,1628433,1922340,1289282,1.18,1.49,633058,3,Delayed
PJT007,2025-04-30,1095036,1652623,790137,965385,0.48,0.82,-175248,1,On Track
PJT007,2025-05-31,1954700,1707019,1228185,1437829,0.72,0.85,-209643,2,At Risk
PJT007,2025-06-30,576797,892338,578802,423552,0.65,1.37,155250,1,On Track
PJT008,2022-01-31,859146,717619,629163,621266,0.88,1.01,7897,3,Delayed
PJT008,2022-02-28,624718,783027,789863,605554,1.01,1.3,184309,1,On Track
PJT008,2022-03-31,1251263,1985625,1329901,962361,0.67,1.38,367541,1,On Track
PJT008,2022-04-30,1646089,1620981,2078338,1410266,1.28,1.47,668072,1,On Track
PJT008,2022-05-31,1509163,1753183,755687,1338482,0.43,0.56,-582795,2,At Risk
PJT008,2022-06-30,736131,845723,822474,633660,0.97,1.3,188814,2,At Risk
PJT008,2022-07-31,1308605,911519,1351329,1012885,1.48,1.33,338444,2,At Risk
PJT008,2022-08-31,1937655,2172431,1057400,1458971,0.49,0.72,-401571,1,On Track
PJT008,2022-09-30,983595,940620,957243,740824,1.02,1.29,216419,1,On Track
PJT008,2022-10-31,1073188,1455055,843445,875729,0.58,0.96,-32284,3,Delayed
PJT008,2022-11-30,1910034,1545648,1074519,1354847,0.7,0.79,-280328,1,On Track
PJT008,2022-12-31,912165,1181543,820577,644090,0.69,1.27,176487,2,At Risk
PJT008,2023-01-31,725096,872306,887633,509341,1.02,1.74,378292,4,Completed
PJT008,2023-02-28,811452,607908,854759,800396,1.41,1.07,54363,3,Delayed
PJT008,2023-03-31,864156,949871,885899,799822,0.93,1.11,86077,2,At Risk
PJT008,2023-04-30,755671,803796,560859,586660,0.7,0.96,-25801,1,On Track
PJT008,2023-05-31,1798210,1627893,2300508,1651229,1.41,1.39,649279,1,On Track
PJT008,2023-06-30,786759,1208609,886840,638418,0.73,1.39,248423,3,Delayed
PJT008,2023-07-31,763490,922315,583733,742459,0.63,0.79,-158726,1,On Track
PJT008,2023-08-31,882689,783115,545494,730719,0.7,0.75,-185225,2,At Risk
